season,game_id,play_id,field_pos,yards_to_go,score_diff,time_remaining,actual_decision,ex_ante_optimal,ex_post_optimal,ex_ante_match,ex_post_match,models_agree,ex_ante_confidence,ex_ante_margin,ex_post_margin,ex_ante_wp_go,ex_ante_wp_punt,ex_ante_wp_fg,train_start,train_end,posteam,defteam,week,season_type,home_team,away_team,game_date,qtr,desc,decision_clarity,confidence_category,coach_wrong,mistake_type,wp_cost
2021,2021_05_CLE_LAC,4158.0,82,6,1,131,punt,go_for_it,go_for_it,False,False,True,1.0,0.14703852275062113,0.15182602572334547,0.6566537001435991,0.509615177392978,0.0,1999,2020,CLE,LAC,5.0,REG,LAC,CLE,2021-10-10,4.0,"(2:11) 7-J.Gillan punts 42 yards to LAC 40, Center-47-C.Hughlett. 84-K.Hill to CLE 48 for 12 yards (25-D.Felton).",clear,obvious,True,egregious,0.14703852275062113
2013,2013_06_NO_NE,4118.0,76,6,-1,170,go_for_it,punt,punt,False,False,True,1.0,0.14568675354635124,0.13959164708841532,0.28084092688320816,0.4265276804295594,0.0,1999,2012,,,,,,,,,,clear,obvious,True,egregious,0.14568675354635124
2009,2009_04_CIN_CLE,3925.0,40,10,0,19,punt,field_goal,field_goal,False,False,True,1.0,0.14528737623951749,0.18812014945583555,0.48959564922268645,0.4936176350422996,0.6389050112818171,1999,2008,,,,,,,,,,clear,obvious,True,egregious,0.14528737623951749
2011,2011_12_WAS_SEA,4046.0,77,5,-3,133,go_for_it,punt,punt,False,False,True,1.0,0.14511392450406607,0.14618789487815181,0.08861247132130289,0.23372639582536897,0.0,1999,2010,,,,,,,,,,clear,obvious,True,egregious,0.14511392450406607
2019,2019_03_DET_PHI,3847.0,78,8,-3,145,go_for_it,punt,punt,False,False,True,1.0,0.1447596260432293,0.14441875478263488,0.13299239478932282,0.2777520208325521,0.0,1999,2018,PHI,DET,3.0,REG,PHI,DET,2019-09-22,4.0,(2:25) (Shotgun) 11-C.Wentz scrambles up the middle to PHI 28 for 6 yards (42-D.Kennard).,clear,obvious,True,egregious,0.1447596260432293
2006,2006_16_SD_SEA,4407.0,85,2,4,131,punt,go_for_it,go_for_it,False,False,True,1.0,0.14329923526018418,0.14320299331085873,0.8167297083656356,0.6734304731054515,0.0,1999,2005,,,,,,,,,,clear,obvious,True,egregious,0.14329923526018418
2023,2023_07_ATL_TB,3933.0,76,1,3,162,punt,go_for_it,go_for_it,False,False,True,1.0,0.14322193752223245,0.14627995817497885,0.8217552315645951,0.6785332940423626,0.0,1999,2022,ATL,TB,7.0,REG,TB,ATL,2023-10-22,4.0,"(2:42) 13-B.Pinion punts 43 yards to TB 33, Center-49-L.McCullough, out of bounds.",clear,obvious,True,egregious,0.14322193752223245
2017,2017_05_GB_DAL,3512.0,20,1,-4,136,go_for_it,field_goal,field_goal,False,False,True,1.0,0.14274936550867784,0.1466671528894456,0.10344129376766431,0.2576315749704639,0.40038094047914174,1999,2016,,,,,,,,,,clear,obvious,True,egregious,0.14274936550867784
2008,2008_04_HOU_JAX,3293.0,18,8,-4,147,go_for_it,field_goal,field_goal,False,False,True,1.0,0.1414743280670731,0.15041855181409253,0.18422736987800856,0.26699928233941717,0.4084736104064903,1999,2007,,,,,,,,,,clear,obvious,True,egregious,0.1414743280670731
2019,2019_05_LA_SEA,4107.0,5,5,-5,154,go_for_it,field_goal,field_goal,False,False,True,1.0,0.14125178710251307,0.1431877469854842,0.12474018204608901,0.1959900359276408,0.3372418230301539,1999,2018,SEA,LA,5.0,REG,SEA,LA,2019-10-03,4.0,"(2:34) (Shotgun) 3-R.Wilson pass short right to 32-C.Carson for 5 yards, TOUCHDOWN.",clear,obvious,True,egregious,0.14125178710251307
2013,2013_08_CLE_KC,3845.0,69,7,-3,132,go_for_it,punt,punt,False,False,True,1.0,0.14045829909718052,0.13785437492100494,0.11403483872115497,0.2544931378183355,0.0,1999,2012,,,,,,,,,,clear,obvious,True,egregious,0.14045829909718052
2007,2007_10_PHI_WAS,4087.0,78,13,-1,153,go_for_it,punt,punt,False,False,True,1.0,0.14040680451270812,0.144058166397165,0.23274013357006987,0.373146938082778,0.0,1999,2006,,,,,,,,,,clear,obvious,True,egregious,0.14040680451270812
2023,2023_07_BUF_NE,3651.0,8,2,-5,170,go_for_it,field_goal,field_goal,False,False,True,1.0,0.13978903071857843,0.1414222965040437,0.18213797015639546,0.18637498146992318,0.3261640121885016,1999,2022,BUF,NE,7.0,REG,NE,BUF,2023-10-22,4.0,(2:50) (Shotgun) 17-J.Allen pass short left to 86-D.Kincaid to NE 4 for 4 yards (29-J.Jackson).,clear,obvious,True,egregious,0.13978903071857843
2013,2013_09_SD_WAS,3503.0,45,3,3,137,punt,go_for_it,go_for_it,False,False,True,1.0,0.13802908394405122,0.13993176787872175,0.8062099952994907,0.6681809113554394,0.6544095773908095,1999,2012,,,,,,,,,,clear,obvious,True,egregious,0.13802908394405122
2024,2024_02_NYG_WAS,3964.0,22,4,0,129,go_for_it,field_goal,field_goal,False,False,True,1.0,0.13750976566524503,0.13866313038771644,0.4832856728747919,0.4585043022669665,0.6207954385400369,1999,2023,NYG,WAS,2.0,REG,WAS,NYG,2024-09-15,4.0,(2:09) (Shotgun) 8-D.Jones pass incomplete short right to 1-M.Nabers.,clear,obvious,True,egregious,0.13750976566524503
2023,2023_01_DET_KC,4041.0,70,25,-1,129,go_for_it,punt,punt,False,False,True,1.0,0.13670752524375335,0.1333714402163863,0.24531460513407222,0.38202213037782556,0.0,1999,2022,KC,DET,1.0,REG,KC,DET,2023-09-07,4.0,(2:09) (Shotgun) 15-P.Mahomes pass incomplete deep right to 84-Ju.Watson [79-J.Cominsky].,clear,obvious,True,egregious,0.13670752524375335
2015,2015_13_JAX_TEN,3732.0,83,4,-3,128,go_for_it,punt,punt,False,False,True,1.0,0.13663694082383682,0.14079817730780403,0.07849393255830021,0.21513087338213704,0.0,1999,2014,,,,,,,,,,clear,obvious,True,egregious,0.13663694082383682
2014,2014_03_BAL_CLE,3852.0,90,7,1,125,punt,go_for_it,go_for_it,False,False,True,1.0,0.136354699740941,0.13431133675929907,0.6138913677027917,0.47753666796185074,0.0,1999,2013,,,,,,,,,,clear,obvious,True,egregious,0.136354699740941
